,average,yearpublished,minplayers,maxplayers,NEW_CAT_Family_Game,NEW_CAT_Heavy_Game,NEW_CAT_Party_Game,NEW_CAT_Strategy_Game
0,7.58896,2008,2.0,4.0,0,0,0,1
1,7.41837,2000,2.0,5.0,0,0,0,0
2,7.13598,1995,3.0,4.0,0,0,0,1
3,7.73515,2010,2.0,7.0,0,0,0,1
4,7.61,2008,2.0,4.0,0,0,0,1
5,7.41291,2004,2.0,5.0,1,0,0,0
6,7.59814,2015,2.0,8.0,0,0,1,0
7,8.41702,2016,1.0,5.0,0,0,0,1
8,8.1083,2015,2.0,2.0,0,0,0,1
9,7.92581,2007,1.0,5.0,0,1,0,0
10,7.96662,2002,3.0,5.0,0,0,0,1
11,7.44,2014,2.0,4.0,1,0,0,0
12,8.21868,2016,1.0,5.0,0,0,0,1
13,7.246,2009,2.0,5.0,0,0,0,1
14,7.54362,2005,2.0,5.0,1,0,0,0
15,7.79966,2017,2.0,4.0,1,0,0,0
16,7.16923,2011,2.0,6.0,0,0,1,0
17,7.23308,2012,2.0,4.0,1,0,0,0
18,7.84218,2004,2.0,6.0,0,0,0,1
19,8.10005,2019,1.0,5.0,0,0,0,1
20,7.24135,2008,3.0,6.0,0,0,1,0
21,7.63916,2014,2.0,2.0,1,0,0,0
22,8.12675,2011,2.0,4.0,0,0,0,1
23,7.07884,2000,2.0,8.0,0,0,0,1
24,7.75712,2007,2.0,4.0,0,0,0,1
25,7.7489,2012,2.0,5.0,0,0,0,1
26,8.74356,2017,1.0,4.0,0,1,0,0
27,7.55424,2008,2.0,4.0,0,0,0,1
28,8.5935,2015,2.0,4.0,0,0,0,1
29,6.78364,2010,2.0,4.0,1,0,0,0
30,5.89119,2001,3.0,6.0,0,0,1,0
31,8.27955,2005,2.0,2.0,0,1,0,0
32,8.1236,2012,2.0,5.0,0,1,0,0
33,7.07224,2010,2.0,5.0,1,0,0,0
34,7.54132,2014,2.0,5.0,0,0,0,1
35,7.50318,2009,2.0,2.0,1,0,0,0
36,7.04109,1997,2.0,7.0,0,0,1,0
37,7.05682,2004,3.0,6.0,0,0,0,1
38,7.19021,1999,2.0,2.0,1,0,0,0
39,6.99983,2012,2.0,6.0,0,0,1,0
40,7.57886,2014,2.0,2.0,1,0,0,0
41,7.04022,2013,2.0,5.0,1,0,0,0
42,7.25965,2011,2.0,4.0,1,0,0,0
43,7.99259,2015,2.0,4.0,0,0,0,1
44,7.24971,2005,1.0,8.0,0,1,0,0
45,7.26526,2009,5.0,10.0,0,0,1,0
46,7.81795,2012,1.0,4.0,0,1,0,0
47,7.35009,2016,2.0,4.0,1,0,0,0
48,7.28358,2015,2.0,7.0,0,0,1,0
49,8.05742,2015,1.0,6.0,0,0,0,1
50,7.77873,2014,2.0,4.0,0,0,0,1
51,7.53558,1993,2.0,2.0,0,0,0,1
52,7.74069,2008,3.0,6.0,0,0,0,1
53,7.89039,2012,2.0,4.0,0,1,0,0
54,8.1617,2016,1.0,2.0,0,0,0,1
55,8.29446,2016,2.0,4.0,0,1,0,0
56,8.36078,2017,1.0,4.0,0,1,0,0
57,7.81497,2016,2.0,4.0,0,0,0,1
58,7.3235,2000,2.0,2.0,0,0,0,1
59,5.5933,1959,2.0,6.0,0,0,0,1
60,8.09779,2018,2.0,4.0,0,1,0,0
61,8.12005,2013,2.0,5.0,0,0,0,1
62,7.43995,2016,2.0,4.0,1,0,0,0
63,7.78371,2013,1.0,8.0,0,0,0,1
64,7.12023,2014,3.0,5.0,1,0,0,0
65,7.70967,2009,2.0,6.0,0,0,0,1
66,7.38915,2007,2.0,4.0,0,0,0,1
67,7.15428,1910,2.0,2.0,0,1,0,0
68,4.37245,1933,2.0,8.0,0,0,1,0
69,7.51438,2017,1.0,4.0,1,0,0,0
70,7.57953,2011,3.0,6.0,0,1,0,0
71,7.03018,2003,2.0,6.0,0,0,0,1
72,8.00149,2013,1.0,7.0,0,1,0,0
73,7.84596,2018,2.0,4.0,1,0,0,0
74,8.09905,2011,1.0,4.0,0,1,0,0
